smile,value_min,value_max,value_mean,labled,testTemperature,testfrequency
Nc1ccc(Oc2ccc(C(c3ccc(Oc4ccc(N5C(=O)c6ccc(C(c7ccc8c(c7)C(=O)N(c7ccc(Oc9ccc(C(c%10ccc(Oc%11ccc(N)cc%11)cc%10)(C(F)(F)F)C(F)(F)F)cc9)cc7)C8=O)(C(F)(F)F)C(F)(F)F)cc6C5=O)cc4)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1,2.75,2.75,2.75,0,23,6
Nc1ccc(Oc2ccc(C(c3ccc(Oc4ccc(N5C(=O)c6ccc(C(=O)c7ccc8c(c7)C(=O)N(c7ccc(Oc9ccc(C(c%10ccc(Oc%11ccc(N)cn%11)cc%10)(C(F)(F)F)C(F)(F)F)cc9)nc7)C8=O)cc6C5=O)cn4)cc3)(C(F)(F)F)C(F)(F)F)cc2)nc1,3.24,3.24,3.24,0,23,3
Nc1ccc(Oc2ccc(C(c3ccc(Oc4ccc(N5C(=O)c6ccc(C(=O)c7ccc8c(c7)C(=O)N(c7ccc(Oc9ccc(C(c%10ccc(Oc%11ccc(N)cn%11)cc%10)(C(F)(F)F)C(F)(F)F)cc9)nc7)C8=O)cc6C5=O)cn4)cc3)(C(F)(F)F)C(F)(F)F)cc2)nc1,3.16,3.16,3.16,0,23,5
Nc1ccc(Oc2ccc(C(c3ccc(Oc4ccc(N5C(=O)c6ccc(C(=O)c7ccc8c(c7)C(=O)N(c7ccc(Oc9ccc(C(c%10ccc(Oc%11ccc(N)cn%11)cc%10)(C(F)(F)F)C(F)(F)F)cc9)nc7)C8=O)cc6C5=O)cn4)cc3)(C(F)(F)F)C(F)(F)F)cc2)nc1,2.92,2.92,2.92,0,23,6
Nc1ccc(Oc2ccc(C(c3ccc(Oc4ccc(-n5c(=O)c6cc7c(=O)n(-c8ccc(Oc9ccc(C(c%10ccc(Oc%11ccc(N)cn%11)cc%10)(C(F)(F)F)C(F)(F)F)cc9)nc8)c(=O)c7cc6c5=O)cn4)cc3)(C(F)(F)F)C(F)(F)F)cc2)nc1,3.2,3.2,3.2,0,23,3
Nc1ccc(Oc2ccc(C(c3ccc(Oc4ccc(-n5c(=O)c6cc7c(=O)n(-c8ccc(Oc9ccc(C(c%10ccc(Oc%11ccc(N)cn%11)cc%10)(C(F)(F)F)C(F)(F)F)cc9)nc8)c(=O)c7cc6c5=O)cn4)cc3)(C(F)(F)F)C(F)(F)F)cc2)nc1,3.09,3.09,3.09,0,23,5
Nc1ccc(Oc2ccc(C(c3ccc(Oc4ccc(-n5c(=O)c6cc7c(=O)n(-c8ccc(Oc9ccc(C(c%10ccc(Oc%11ccc(N)cn%11)cc%10)(C(F)(F)F)C(F)(F)F)cc9)nc8)c(=O)c7cc6c5=O)cn4)cc3)(C(F)(F)F)C(F)(F)F)cc2)nc1,2.73,2.73,2.73,0,23,6
Nc1ccc(-c2cc(-c3ccc(C(F)(F)F)cc3)cc(-c3ccc(N4C(=O)c5ccc(Sc6ccc7c(c6)C(=O)NC7=O)cc5C4=O)cc3)n2)cc1,4,4,4,0,23,3
Nc1ccc(-c2cc(-c3ccc(C(F)(F)F)cc3)cc(-c3ccc(N4C(=O)c5ccc(Oc6cccc(Oc7ccc8c(c7)C(=O)NC8=O)c6)cc5C4=O)cc3)n2)cc1,3.68,3.68,3.68,0,23,3
Nc1ccc(-c2cc(-c3ccc(C(F)(F)F)cc3)cc(-c3ccc(N4C(=O)c5ccc(Oc6ccc7c(c6)C(=O)NC7=O)cc5C4=O)cc3)n2)cc1,3.93,3.93,3.93,0,23,3
Nc1ccc(-c2cc(-c3ccc(C(F)(F)F)cc3)cc(-c3ccc(N4C(=O)c5ccc(-c6ccc7c(c6)C(=O)NC7=O)cc5C4=O)cc3)n2)cc1,3.91,3.91,3.91,0,23,3
Nc1ccc(-c2cc(-c3ccc(C(F)(F)F)cc3)cc(-c3ccc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)NC7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)n2)cc1,3.49,3.49,3.49,0,23,3
